997011533548905171 337   $$acomputer$$bc$$2rdamedia
997011533548905171 338   $$aonline resource$$bcr$$2rdacarrier
997011533548905171 351   $$cSeries Record
997011533548905171 5202  $$aהסדרה כוללת: תצלומים ושקופיות בהם מתועדת סילביה דוראן כילדה וכנערה בעיר הולדתה יוהנסבורג שבדרום אפריקה, בין השנים 1964-1948. בחלק מהתצלומים מופיעים גם הוריה של דוראן, מורותיה, חבריה לספסל הלימודים וכן רקדנים ורקדניות שלצידם למדה והופיעה בתחילת דרכה בתחום המחול הספרדי. התצלומים נעשו בין היתר בבית הוריה של דוראן, במוסדות החינוך בהם למדה, בסטודיו לצילום ובאולמות בהם הופיעה
997011533548905171 590   $$asponsor: Batsheva Dance Company
997011533548905171 590   $$aVisual art ready for copyright analysis
997011533548905171 590   $$asponsor: Jerusalem and Heritage
997011533548905171 590   $$asponsor: Landmarks
997011533548905171 590   $$asponsor: The Judaica collection at the Harvard University Library
997011533548905171 597   $$aארכיון סילביה דוראן, המופקד בארכיון המחול הישראלי בבית אריאלה, זמין דיגיטלית במסגרת שיתוף הפעולה בין תכנית "ציוני דרך" במשרד ירושלים ומורשת, מחלקת היודאיקה בספריית אוניברסיטת הרווארד, להקת מחול בת-שבע והספרייה הלאומית של ישראל.$$aThe Silvia Duran Archive, deposited at The Israeli Dance Archive in Beit Ariela, can now be accessed online as part of a collaborative initiative between the Israel Ministry of Jerusalem and Heritage’s Landmarks Program, the Harvard Library Judaica Division, Batsheva Dance Company and The National Library of Israel.
997011533548905171 650 7 $$aDance$$zIsrael$$9lat$$2NLI
997011533548905171 7102  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb$$eבעלים נוכחיים
997011533548905171 77318 $$tתצלומים$$w997011533549005171
997011533548905171 903   $$aStaff only$$b000000018
997011533548905171 906   $$aVIS
997011533548905171 921   $$aFAE 202206
997011533548905171 939   $$aאיסור העתקה$$uhttp://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx
997011533548905171 9421  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb
997011533548905171 948   $$aNNL
997011533548905171 952   $$aCopyright status not determined; No contract$$bNo copyright analysis$$cYael Gherman 20220816$$dללא ניתוח מצב זכויות
997011533548905171 999   $$bNOULI
997011533548905171 999   $$bNOOCLC
997011533548905171 999   $$aARCHIVE
997011533548805171 LDR   00000npd#a22########4500
997011533548805171 001   997011533548805171
997011533548805171 008   ######k19471959sa#xx###############eng####d
997011533548805171 040   $$bheb$$erda
997011533548805171 044   $$asa
997011533548805171 093   $$cPSiDu-001-001-001$$dארכיון סילביה דוראן$$eSilvia Duran Archive
997011533548805171 1001  $$aדוראן, סילביה$$9heb$$eמחבר
997011533548805171 24510 $$aתצלומים - ילדות
997011533548805171 260   $$g1947-1959$$c1947-1959$$e[דרום אפריקה]
997011533548805171 300   $$a1$$fמעטפה ובה עשרות תצלומים
997011533548805171 336   $$atext$$btxt$$2rdacontent
997011533548805171 336   $$astill image$$bsti$$2rdacontent
997011533548805171 337   $$acomputer$$bc$$2rdamedia
997011533548805171 338   $$aonline resource$$bcr$$2rdacarrier
997011533548805171 351   $$cFile Record
997011533548805171 500   $$aמספר מיכל: 1; קוד תיק ארכיון: A001; הערות: בשל כמות התצלומים ותכנם הדומה הונגש מבחר מייצג מתוכם. פריטים שלא נסרקו זמינים לעיון בארכיון הפיזי; ברקוד: 658;
997011533548805171 5202  $$aבתיק: תצלומים משפחתיים, תצלומי פורטרט ותמונות מחזור מתקופת ילדותה ונעוריה של סילביה דוראן ביוהנסבורג, דרום אפריקה. חלק מהתצלומים מוקדשים לדודתה וחתומים בשם נעוריה, Sylviajane Klass. בתיק גם: תצלום של דוראן וחברי כיתתה בביקור במשרדי אל על ביוהנסבורג
997011533548805171 534   $$pמנשא והפורמט הפיזי של הפריט המקורי.$$eנייר תצלום--שחור לבן
997011533548805171 534   $$pמנשא והפורמט הפיזי של הפריט המקורי.$$eקרטון
997011533548805171 534   $$pמנשא והפורמט הפיזי של הפריט המקורי.$$eנייר תצלום--צבעוני
997011533548805171 590   $$aמסלולי דיגיטציה: לסורק עד A3;סריקה דו-צדדית: כן;מספר קבצים מוערך: 39.0;
997011533548805171 590   $$asponsor: Batsheva Dance Company
997011533548805171 590   $$aהערה לדיגיטציה: נא להשתדל לשמור על הסדר הקיים בעת הסריקה ובהחזרת התצלומים למעטפה
997011533548805171 590   $$aVisual art ready for copyright analysis
997011533548805171 590   $$asponsor: Jerusalem and Heritage
997011533548805171 590   $$asponsor: Landmarks
997011533548805171 590   $$asponsor: The Judaica collection at the Harvard University Library
